source,target,weight
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,1
"Trastorno esquizoafectivo, tipo bipolar",Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,1
Bacteriemia,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,3
Necesidad de supervisión continua,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,3
Trastornos esquizoafectivos,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,3
Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,"Neoplasia maligna de páncreas, no especificada",1
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas,"Neoplasia maligna de páncreas, no especificada",1
"Trastorno esquizoafectivo, tipo bipolar","Neoplasia maligna de páncreas, no especificada",1
Bacteriemia,"Neoplasia maligna de páncreas, no especificada",1
Necesidad de supervisión continua,"Neoplasia maligna de páncreas, no especificada",1
Trastornos esquizoafectivos,"Neoplasia maligna de páncreas, no especificada",1
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas,"Trastorno esquizoafectivo, tipo bipolar",2
Bacteriemia,"Trastorno esquizoafectivo, tipo bipolar",1
Necesidad de supervisión continua,"Trastorno esquizoafectivo, tipo bipolar",1
Trastornos esquizoafectivos,"Trastorno esquizoafectivo, tipo bipolar",71
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas,Bacteriemia,1
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas,Necesidad de supervisión continua,1
Bacteriemia,Necesidad de supervisión continua,1
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas,Trastornos esquizoafectivos,2
Bacteriemia,Trastornos esquizoafectivos,1
Necesidad de supervisión continua,Trastornos esquizoafectivos,2
Esquizofrenia paranoide,"Trastorno esquizoafectivo, no especificado",19
Otros tipos de esquizofrenia,"Trastorno esquizoafectivo, no especificado",134
Esquizofrenia paranoide,Discapacidad intelectual leve,21
"Trastorno esquizoafectivo, no especificado",Discapacidad intelectual leve,3
Otros tipos de esquizofrenia,Discapacidad intelectual leve,24
Esquizofrenia paranoide,Discapacidad intelectual moderada,8
"Trastorno esquizoafectivo, no especificado",Discapacidad intelectual moderada,2
Discapacidad intelectual leve,Discapacidad intelectual moderada,2
Otros tipos de esquizofrenia,Discapacidad intelectual moderada,10
Esquizofrenia paranoide,Otros tipos de esquizofrenia,423
Estado de cirugía bariátrica,Trastornos delirantes,2
"Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad",Hiperlipidemia mixta,4
"Estado de alergia a otros fármacos, medicamentos y sustancias biológicas",Hiperlipidemia mixta,1
Ausencia adquirida de otras partes especificadas del tracto digestivo,Hiperlipidemia mixta,2
Incumplimiento del paciente con otro tratamiento y régimen médico,Hiperlipidemia mixta,11
Hiperlipidemia mixta,"Hiperlipidemia, no especificada",2
"Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad","Hiperlipidemia, no especificada",11
"Estado de alergia a otros fármacos, medicamentos y sustancias biológicas","Hiperlipidemia, no especificada",5
Ausencia adquirida de otras partes especificadas del tracto digestivo,"Hiperlipidemia, no especificada",8
Incumplimiento del paciente con otro tratamiento y régimen médico,"Hiperlipidemia, no especificada",11
Hiperlipidemia mixta,Trastornos delirantes,6
"Hiperlipidemia, no especificada",Trastornos delirantes,32
"Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad",Trastornos delirantes,110
"Estado de alergia a otros fármacos, medicamentos y sustancias biológicas",Trastornos delirantes,14
Ausencia adquirida de otras partes especificadas del tracto digestivo,Trastornos delirantes,22
Incumplimiento del paciente con otro tratamiento y régimen médico,Trastornos delirantes,120
"Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad","Estado de alergia a otros fármacos, medicamentos y sustancias biológicas",7
"Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad",Ausencia adquirida de otras partes especificadas del tracto digestivo,4
"Estado de alergia a otros fármacos, medicamentos y sustancias biológicas",Ausencia adquirida de otras partes especificadas del tracto digestivo,1
"Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad",Incumplimiento del paciente con otro tratamiento y régimen médico,136
"Estado de alergia a otros fármacos, medicamentos y sustancias biológicas",Incumplimiento del paciente con otro tratamiento y régimen médico,7
Ausencia adquirida de otras partes especificadas del tracto digestivo,Incumplimiento del paciente con otro tratamiento y régimen médico,5
Somnolencia,"Anemia ferropénica, no especificada",2
"Índice de masa corporal [IMC] 39.0-39.9, adulto","Anemia ferropénica, no especificada",1
Uso prolongado (actual) de anticoagulantes,"Anemia ferropénica, no especificada",7
Uso prolongado (actual) de esteroides inhalados,"Anemia ferropénica, no especificada",1
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas","Anemia ferropénica, no especificada",1
Presencia de válvula cardiaca protésica,"Anemia ferropénica, no especificada",3
Dependencia de oxígeno suplementario,"Anemia ferropénica, no especificada",4
Dependencia de otras máquinas y dispositivos de apoyo,"Anemia ferropénica, no especificada",1
"Anemia ferropénica, no especificada","Talasemia, no especificada",1
Somnolencia,"Talasemia, no especificada",1
"Índice de masa corporal [IMC] 39.0-39.9, adulto","Talasemia, no especificada",1
Uso prolongado (actual) de anticoagulantes,"Talasemia, no especificada",1
Uso prolongado (actual) de esteroides inhalados,"Talasemia, no especificada",1
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas","Talasemia, no especificada",1
Presencia de válvula cardiaca protésica,"Talasemia, no especificada",1
Dependencia de oxígeno suplementario,"Talasemia, no especificada",1
Dependencia de otras máquinas y dispositivos de apoyo,"Talasemia, no especificada",1
"Anemia ferropénica, no especificada",Diabetes mellitus tipo 2 sin complicaciones,12
"Talasemia, no especificada",Diabetes mellitus tipo 2 sin complicaciones,1
Somnolencia,Diabetes mellitus tipo 2 sin complicaciones,1
"Índice de masa corporal [IMC] 39.0-39.9, adulto",Diabetes mellitus tipo 2 sin complicaciones,1
Uso prolongado (actual) de anticoagulantes,Diabetes mellitus tipo 2 sin complicaciones,13
Uso prolongado (actual) de esteroides inhalados,Diabetes mellitus tipo 2 sin complicaciones,3
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas",Diabetes mellitus tipo 2 sin complicaciones,2
Presencia de válvula cardiaca protésica,Diabetes mellitus tipo 2 sin complicaciones,4
Dependencia de oxígeno suplementario,Diabetes mellitus tipo 2 sin complicaciones,9
Dependencia de otras máquinas y dispositivos de apoyo,Diabetes mellitus tipo 2 sin complicaciones,5
"Anemia ferropénica, no especificada",Obesidad mórbida (severa) con hipoventilación alveolar,3
"Talasemia, no especificada",Obesidad mórbida (severa) con hipoventilación alveolar,1
Diabetes mellitus tipo 2 sin complicaciones,Obesidad mórbida (severa) con hipoventilación alveolar,8
Somnolencia,Obesidad mórbida (severa) con hipoventilación alveolar,2
"Índice de masa corporal [IMC] 39.0-39.9, adulto",Obesidad mórbida (severa) con hipoventilación alveolar,1
Uso prolongado (actual) de anticoagulantes,Obesidad mórbida (severa) con hipoventilación alveolar,3
Uso prolongado (actual) de esteroides inhalados,Obesidad mórbida (severa) con hipoventilación alveolar,2
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas",Obesidad mórbida (severa) con hipoventilación alveolar,1
Presencia de válvula cardiaca protésica,Obesidad mórbida (severa) con hipoventilación alveolar,1
Dependencia de oxígeno suplementario,Obesidad mórbida (severa) con hipoventilación alveolar,5
Dependencia de otras máquinas y dispositivos de apoyo,Obesidad mórbida (severa) con hipoventilación alveolar,7
"Anemia ferropénica, no especificada","Obesidad, no especificada",9
"Talasemia, no especificada","Obesidad, no especificada",1
Diabetes mellitus tipo 2 sin complicaciones,"Obesidad, no especificada",25
Obesidad mórbida (severa) con hipoventilación alveolar,"Obesidad, no especificada",7
Somnolencia,"Obesidad, no especificada",3
"Índice de masa corporal [IMC] 39.0-39.9, adulto","Obesidad, no especificada",1
Uso prolongado (actual) de anticoagulantes,"Obesidad, no especificada",8
Uso prolongado (actual) de esteroides inhalados,"Obesidad, no especificada",2
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas","Obesidad, no especificada",1
Presencia de válvula cardiaca protésica,"Obesidad, no especificada",2
Dependencia de oxígeno suplementario,"Obesidad, no especificada",9
Dependencia de otras máquinas y dispositivos de apoyo,"Obesidad, no especificada",3
"Anemia ferropénica, no especificada","Hiperlipidemia, no especificada",8
"Talasemia, no especificada","Hiperlipidemia, no especificada",1
Diabetes mellitus tipo 2 sin complicaciones,"Hiperlipidemia, no especificada",24
Obesidad mórbida (severa) con hipoventilación alveolar,"Hiperlipidemia, no especificada",5
"Obesidad, no especificada","Hiperlipidemia, no especificada",19
Somnolencia,"Hiperlipidemia, no especificada",1
"Índice de masa corporal [IMC] 39.0-39.9, adulto","Hiperlipidemia, no especificada",1
Uso prolongado (actual) de anticoagulantes,"Hiperlipidemia, no especificada",9
Uso prolongado (actual) de esteroides inhalados,"Hiperlipidemia, no especificada",2
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas","Hiperlipidemia, no especificada",1
Presencia de válvula cardiaca protésica,"Hiperlipidemia, no especificada",2
Dependencia de oxígeno suplementario,"Hiperlipidemia, no especificada",9
Dependencia de otras máquinas y dispositivos de apoyo,"Hiperlipidemia, no especificada",4
"Anemia ferropénica, no especificada",Acidosis,1
"Talasemia, no especificada",Acidosis,1
Diabetes mellitus tipo 2 sin complicaciones,Acidosis,5
Obesidad mórbida (severa) con hipoventilación alveolar,Acidosis,4
"Obesidad, no especificada",Acidosis,3
"Hiperlipidemia, no especificada",Acidosis,4
Somnolencia,Acidosis,1
"Índice de masa corporal [IMC] 39.0-39.9, adulto",Acidosis,1
Uso prolongado (actual) de anticoagulantes,Acidosis,1
Uso prolongado (actual) de esteroides inhalados,Acidosis,2
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas",Acidosis,1
Presencia de válvula cardiaca protésica,Acidosis,1
Dependencia de oxígeno suplementario,Acidosis,7
Dependencia de otras máquinas y dispositivos de apoyo,Acidosis,5
"Anemia ferropénica, no especificada","Esquizofrenia, no especificada",31
"Talasemia, no especificada","Esquizofrenia, no especificada",2
Diabetes mellitus tipo 2 sin complicaciones,"Esquizofrenia, no especificada",78
Obesidad mórbida (severa) con hipoventilación alveolar,"Esquizofrenia, no especificada",8
"Obesidad, no especificada","Esquizofrenia, no especificada",41
"Hiperlipidemia, no especificada","Esquizofrenia, no especificada",36
Acidosis,"Esquizofrenia, no especificada",8
Somnolencia,"Esquizofrenia, no especificada",4
"Índice de masa corporal [IMC] 39.0-39.9, adulto","Esquizofrenia, no especificada",1
Uso prolongado (actual) de anticoagulantes,"Esquizofrenia, no especificada",15
Uso prolongado (actual) de esteroides inhalados,"Esquizofrenia, no especificada",5
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas","Esquizofrenia, no especificada",1
Presencia de válvula cardiaca protésica,"Esquizofrenia, no especificada",6
Dependencia de oxígeno suplementario,"Esquizofrenia, no especificada",17
Dependencia de otras máquinas y dispositivos de apoyo,"Esquizofrenia, no especificada",6
Esquizofrenia,"Esquizofrenia, no especificada",184
"Anemia ferropénica, no especificada",Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,10
"Talasemia, no especificada",Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,2
Diabetes mellitus tipo 2 sin complicaciones,Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,26
Obesidad mórbida (severa) con hipoventilación alveolar,Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,2
"Obesidad, no especificada",Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,10
"Hiperlipidemia, no especificada",Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,26
Acidosis,Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,4
"Esquizofrenia, no especificada",Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,16
Somnolencia,Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,4
"Índice de masa corporal [IMC] 39.0-39.9, adulto",Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,2
Uso prolongado (actual) de anticoagulantes,Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,14
Uso prolongado (actual) de esteroides inhalados,Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,2
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas",Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,4
Presencia de válvula cardiaca protésica,Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,6
Dependencia de oxígeno suplementario,Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,6
Dependencia de otras máquinas y dispositivos de apoyo,Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,4
Esquizofrenia,Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,32
"Anemia ferropénica, no especificada",Otros tipos de trastornos específicos de personalidad,2
"Talasemia, no especificada",Otros tipos de trastornos específicos de personalidad,1
Diabetes mellitus tipo 2 sin complicaciones,Otros tipos de trastornos específicos de personalidad,1
Obesidad mórbida (severa) con hipoventilación alveolar,Otros tipos de trastornos específicos de personalidad,1
"Obesidad, no especificada",Otros tipos de trastornos específicos de personalidad,2
"Hiperlipidemia, no especificada",Otros tipos de trastornos específicos de personalidad,2
Acidosis,Otros tipos de trastornos específicos de personalidad,2
"Esquizofrenia, no especificada",Otros tipos de trastornos específicos de personalidad,5
Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,Otros tipos de trastornos específicos de personalidad,16
Somnolencia,Otros tipos de trastornos específicos de personalidad,1
"Índice de masa corporal [IMC] 39.0-39.9, adulto",Otros tipos de trastornos específicos de personalidad,1
Uso prolongado (actual) de anticoagulantes,Otros tipos de trastornos específicos de personalidad,1
Uso prolongado (actual) de esteroides inhalados,Otros tipos de trastornos específicos de personalidad,1
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas",Otros tipos de trastornos específicos de personalidad,1
Presencia de válvula cardiaca protésica,Otros tipos de trastornos específicos de personalidad,1
Dependencia de oxígeno suplementario,Otros tipos de trastornos específicos de personalidad,2
Dependencia de otras máquinas y dispositivos de apoyo,Otros tipos de trastornos específicos de personalidad,2
Esquizofrenia,Otros tipos de trastornos específicos de personalidad,12
"Anemia ferropénica, no especificada",Apnea obstructiva del sueño (del adulto) (pediátrica),3
"Talasemia, no especificada",Apnea obstructiva del sueño (del adulto) (pediátrica),1
Diabetes mellitus tipo 2 sin complicaciones,Apnea obstructiva del sueño (del adulto) (pediátrica),8
Obesidad mórbida (severa) con hipoventilación alveolar,Apnea obstructiva del sueño (del adulto) (pediátrica),6
"Obesidad, no especificada",Apnea obstructiva del sueño (del adulto) (pediátrica),11
"Hiperlipidemia, no especificada",Apnea obstructiva del sueño (del adulto) (pediátrica),6
Acidosis,Apnea obstructiva del sueño (del adulto) (pediátrica),2
"Esquizofrenia, no especificada",Apnea obstructiva del sueño (del adulto) (pediátrica),13
Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,Apnea obstructiva del sueño (del adulto) (pediátrica),2
Otros tipos de trastornos específicos de personalidad,Apnea obstructiva del sueño (del adulto) (pediátrica),1
Somnolencia,Apnea obstructiva del sueño (del adulto) (pediátrica),2
"Índice de masa corporal [IMC] 39.0-39.9, adulto",Apnea obstructiva del sueño (del adulto) (pediátrica),1
Uso prolongado (actual) de anticoagulantes,Apnea obstructiva del sueño (del adulto) (pediátrica),4
Uso prolongado (actual) de esteroides inhalados,Apnea obstructiva del sueño (del adulto) (pediátrica),3
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas",Apnea obstructiva del sueño (del adulto) (pediátrica),1
Presencia de válvula cardiaca protésica,Apnea obstructiva del sueño (del adulto) (pediátrica),1
Dependencia de oxígeno suplementario,Apnea obstructiva del sueño (del adulto) (pediátrica),8
Dependencia de otras máquinas y dispositivos de apoyo,Apnea obstructiva del sueño (del adulto) (pediátrica),7
Esquizofrenia,Apnea obstructiva del sueño (del adulto) (pediátrica),11
"Anemia ferropénica, no especificada",Insuficiencia tricuspídea reumática,2
"Talasemia, no especificada",Insuficiencia tricuspídea reumática,1
Diabetes mellitus tipo 2 sin complicaciones,Insuficiencia tricuspídea reumática,2
Obesidad mórbida (severa) con hipoventilación alveolar,Insuficiencia tricuspídea reumática,2
"Obesidad, no especificada",Insuficiencia tricuspídea reumática,4
"Hiperlipidemia, no especificada",Insuficiencia tricuspídea reumática,2
Acidosis,Insuficiencia tricuspídea reumática,1
"Esquizofrenia, no especificada",Insuficiencia tricuspídea reumática,3
Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,Insuficiencia tricuspídea reumática,2
Otros tipos de trastornos específicos de personalidad,Insuficiencia tricuspídea reumática,1
Apnea obstructiva del sueño (del adulto) (pediátrica),Insuficiencia tricuspídea reumática,1
Somnolencia,Insuficiencia tricuspídea reumática,1
"Índice de masa corporal [IMC] 39.0-39.9, adulto",Insuficiencia tricuspídea reumática,1
Uso prolongado (actual) de anticoagulantes,Insuficiencia tricuspídea reumática,2
Uso prolongado (actual) de esteroides inhalados,Insuficiencia tricuspídea reumática,1
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas",Insuficiencia tricuspídea reumática,1
Presencia de válvula cardiaca protésica,Insuficiencia tricuspídea reumática,2
Dependencia de oxígeno suplementario,Insuficiencia tricuspídea reumática,1
Dependencia de otras máquinas y dispositivos de apoyo,Insuficiencia tricuspídea reumática,1
Esquizofrenia,Insuficiencia tricuspídea reumática,3
"Anemia ferropénica, no especificada",Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
"Talasemia, no especificada",Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
Diabetes mellitus tipo 2 sin complicaciones,Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,2
Obesidad mórbida (severa) con hipoventilación alveolar,Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
"Obesidad, no especificada",Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
"Hiperlipidemia, no especificada",Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
Acidosis,Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
"Esquizofrenia, no especificada",Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,4
Otros tipos de trastornos específicos de personalidad,Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
Apnea obstructiva del sueño (del adulto) (pediátrica),Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
Insuficiencia tricuspídea reumática,Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
Somnolencia,Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
"Índice de masa corporal [IMC] 39.0-39.9, adulto",Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
Uso prolongado (actual) de anticoagulantes,Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,2
Uso prolongado (actual) de esteroides inhalados,Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas",Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,2
Presencia de válvula cardiaca protésica,Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
Dependencia de oxígeno suplementario,Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
Dependencia de otras máquinas y dispositivos de apoyo,Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
Esquizofrenia,Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,1
"Anemia ferropénica, no especificada",Hipertensión esencial (primaria),14
"Talasemia, no especificada",Hipertensión esencial (primaria),1
Diabetes mellitus tipo 2 sin complicaciones,Hipertensión esencial (primaria),59
Obesidad mórbida (severa) con hipoventilación alveolar,Hipertensión esencial (primaria),10
"Obesidad, no especificada",Hipertensión esencial (primaria),31
"Hiperlipidemia, no especificada",Hipertensión esencial (primaria),40
Acidosis,Hipertensión esencial (primaria),4
"Esquizofrenia, no especificada",Hipertensión esencial (primaria),87
Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,Hipertensión esencial (primaria),34
Otros tipos de trastornos específicos de personalidad,Hipertensión esencial (primaria),4
Apnea obstructiva del sueño (del adulto) (pediátrica),Hipertensión esencial (primaria),9
Insuficiencia tricuspídea reumática,Hipertensión esencial (primaria),5
Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,Hipertensión esencial (primaria),2
Somnolencia,Hipertensión esencial (primaria),4
"Índice de masa corporal [IMC] 39.0-39.9, adulto",Hipertensión esencial (primaria),1
Uso prolongado (actual) de anticoagulantes,Hipertensión esencial (primaria),16
Uso prolongado (actual) de esteroides inhalados,Hipertensión esencial (primaria),2
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas",Hipertensión esencial (primaria),1
Presencia de válvula cardiaca protésica,Hipertensión esencial (primaria),4
Dependencia de oxígeno suplementario,Hipertensión esencial (primaria),7
Dependencia de otras máquinas y dispositivos de apoyo,Hipertensión esencial (primaria),5
Esquizofrenia,Hipertensión esencial (primaria),75
"Anemia ferropénica, no especificada",Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,2
"Talasemia, no especificada",Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,1
Diabetes mellitus tipo 2 sin complicaciones,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,10
Obesidad mórbida (severa) con hipoventilación alveolar,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,3
"Obesidad, no especificada",Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,2
"Hiperlipidemia, no especificada",Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,4
Acidosis,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,3
"Esquizofrenia, no especificada",Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,9
Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,6
Otros tipos de trastornos específicos de personalidad,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,1
Apnea obstructiva del sueño (del adulto) (pediátrica),Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,3
Insuficiencia tricuspídea reumática,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,1
Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,2
Hipertensión esencial (primaria),Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,10
Somnolencia,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,1
"Índice de masa corporal [IMC] 39.0-39.9, adulto",Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,1
Uso prolongado (actual) de anticoagulantes,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,4
Uso prolongado (actual) de esteroides inhalados,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,1
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas",Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,2
Presencia de válvula cardiaca protésica,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,1
Dependencia de oxígeno suplementario,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,4
Dependencia de otras máquinas y dispositivos de apoyo,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,3
Esquizofrenia,Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,8
"Anemia ferropénica, no especificada","Enfermedad isquémica crónica cardiaca, no especificada",1
"Talasemia, no especificada","Enfermedad isquémica crónica cardiaca, no especificada",1
Diabetes mellitus tipo 2 sin complicaciones,"Enfermedad isquémica crónica cardiaca, no especificada",2
Obesidad mórbida (severa) con hipoventilación alveolar,"Enfermedad isquémica crónica cardiaca, no especificada",1
"Obesidad, no especificada","Enfermedad isquémica crónica cardiaca, no especificada",2
"Hiperlipidemia, no especificada","Enfermedad isquémica crónica cardiaca, no especificada",3
Acidosis,"Enfermedad isquémica crónica cardiaca, no especificada",1
"Esquizofrenia, no especificada","Enfermedad isquémica crónica cardiaca, no especificada",3
Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,"Enfermedad isquémica crónica cardiaca, no especificada",6
Otros tipos de trastornos específicos de personalidad,"Enfermedad isquémica crónica cardiaca, no especificada",1
Apnea obstructiva del sueño (del adulto) (pediátrica),"Enfermedad isquémica crónica cardiaca, no especificada",1
Insuficiencia tricuspídea reumática,"Enfermedad isquémica crónica cardiaca, no especificada",1
Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,"Enfermedad isquémica crónica cardiaca, no especificada",1
Hipertensión esencial (primaria),"Enfermedad isquémica crónica cardiaca, no especificada",8
Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,"Enfermedad isquémica crónica cardiaca, no especificada",1
Somnolencia,"Enfermedad isquémica crónica cardiaca, no especificada",1
"Índice de masa corporal [IMC] 39.0-39.9, adulto","Enfermedad isquémica crónica cardiaca, no especificada",1
Uso prolongado (actual) de anticoagulantes,"Enfermedad isquémica crónica cardiaca, no especificada",3
Uso prolongado (actual) de esteroides inhalados,"Enfermedad isquémica crónica cardiaca, no especificada",1
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas","Enfermedad isquémica crónica cardiaca, no especificada",1
Presencia de válvula cardiaca protésica,"Enfermedad isquémica crónica cardiaca, no especificada",2
Dependencia de oxígeno suplementario,"Enfermedad isquémica crónica cardiaca, no especificada",3
Dependencia de otras máquinas y dispositivos de apoyo,"Enfermedad isquémica crónica cardiaca, no especificada",1
Esquizofrenia,"Enfermedad isquémica crónica cardiaca, no especificada",1
"Anemia ferropénica, no especificada",Otra hipertensión pulmonar secundaria,5
"Talasemia, no especificada",Otra hipertensión pulmonar secundaria,1
Diabetes mellitus tipo 2 sin complicaciones,Otra hipertensión pulmonar secundaria,3
Obesidad mórbida (severa) con hipoventilación alveolar,Otra hipertensión pulmonar secundaria,3
"Obesidad, no especificada",Otra hipertensión pulmonar secundaria,5
"Hiperlipidemia, no especificada",Otra hipertensión pulmonar secundaria,2
Acidosis,Otra hipertensión pulmonar secundaria,1
"Esquizofrenia, no especificada",Otra hipertensión pulmonar secundaria,7
Psicosis no especificada no debida a sustancia o afección fisiológica conocidas,Otra hipertensión pulmonar secundaria,8
Otros tipos de trastornos específicos de personalidad,Otra hipertensión pulmonar secundaria,1
Apnea obstructiva del sueño (del adulto) (pediátrica),Otra hipertensión pulmonar secundaria,2
Insuficiencia tricuspídea reumática,Otra hipertensión pulmonar secundaria,4
Trastornos reumáticos tanto de la válvula mitral como de la tricúspide,Otra hipertensión pulmonar secundaria,3
Hipertensión esencial (primaria),Otra hipertensión pulmonar secundaria,7
Enfermedad cardíaca hipertensiva con insuficiencia cardiaca,Otra hipertensión pulmonar secundaria,2
"Enfermedad isquémica crónica cardiaca, no especificada",Otra hipertensión pulmonar secundaria,1
Somnolencia,Otra hipertensión pulmonar secundaria,1
"Índice de masa corporal [IMC] 39.0-39.9, adulto",Otra hipertensión pulmonar secundaria,1
Uso prolongado (actual) de anticoagulantes,Otra hipertensión pulmonar secundaria,7
Uso prolongado (actual) de esteroides inhalados,Otra hipertensión pulmonar secundaria,1
"Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas",Otra hipertensión pulmonar secundaria,2
Presencia de válvula cardiaca protésica,Otra hipertensión pulmonar secundaria,2
