Métrica|XGBoost|Gradient Boosting|Random Forest
Accuracy|0.735|0.7516666666666667|0.7266666666666667
Precision|0.7321100917431193|0.772256728778468|0.7510121457489879
Recall|0.9684466019417476|0.9053398058252428|0.9004854368932039
F1-Score|0.8338557993730408|0.8335195530726257|0.8189845474613686
ROC AUC|0.7450681677339392|0.7689785168353647|0.7442354368932039
