Métrica|XGBoost|Gradient Boosting|Random Forest
Accuracy|0.7516666666666667|0.755|0.7416666666666667
Precision|0.7486136783733827|0.772635814889336|0.7733887733887734
Recall|0.9688995215311005|0.9186602870813397|0.8899521531100478
F1-Score|0.8446298227320125|0.839344262295082|0.8275862068965517
ROC AUC|0.7758622955991377|0.7828487302171513|0.7364674798885325
