terminoEN|ICD10|ICD9|terminoIN|embedding
Enteritis debida a Salmonella|A02.0|003.0|Salmonella enteritis|0.039935462176799774, -0.04481009021401405, -0.017949439585208893, 0.002472085878252983, -0.004002910107374191, -0.02476130798459053, 0.09153321385383606, 0.05581367015838623, 0.014611947350203991, -0.061250291764736176, -0.042759280651807785, 0.0009826610330492258, -0.006825488992035389, 0.08091691136360168, 0.00010905393719440326, -0.11152393370866776, 0.032474350184202194, -0.0569821298122406, -0.02389214187860489, -0.09364807605743408, -0.05897609516978264, 0.0076588294468820095, 0.007771764416247606, -0.06514128297567368, -0.0967540368437767, -0.01001448929309845, 0.08694841712713242, 0.07132133096456528, 0.053768981248140335, -0.020232172682881355, -0.1051560714840889, -0.013711351901292801, 0.0737525001168251, -0.035718489438295364, 0.03786459192633629, 0.006611163262277842, 0.06746833026409149, -0.013009179383516312, 0.07236013561487198, -0.0057387822307646275, 0.0284689012914896, -0.011864854022860527, 0.0450475849211216, 0.03151966631412506, -0.04384968802332878, 0.03330220654606819, -0.015216239728033543, 0.030908767133951187, 0.07349573075771332, 0.04602893069386482, -0.06343294680118561, -0.04529229551553726, 0.0459168441593647, 0.016427312046289444, -0.0008814160828478634, -0.016576824709773064, -0.04136613756418228, -0.10298164188861847, -0.05814088135957718, -0.05193047970533371, 0.004379731602966785, -0.036602240055799484, 0.08989264816045761, 0.025624264031648636, -0.038231074810028076, -0.046563245356082916, 0.03730973228812218, 0.04619972035288811, 0.04991958290338516, -0.039073821157217026, 0.021085215732455254, 0.015095334500074387, -0.07486731559038162, 0.08207657933235168, -0.04421272128820419, -0.009279847145080566, 0.05677047371864319, -0.04874628782272339, 0.05120854079723358, 0.048750534653663635, 0.026409147307276726, 0.022437648847699165, 0.026897216215729713, 0.03588574007153511, 0.02297268435359001, -0.01109888032078743, 0.04560840502381325, 0.043362416326999664, 0.007421789225190878, 0.012759734876453876, 0.01972947269678116, -0.09302054345607758, 0.06219859421253204, -0.054749611765146255, 0.01217576302587986, -0.032883170992136, -0.007653252687305212, -0.12338026612997055, -0.030097072944045067, 0.03933142125606537, -0.09822265803813934, 0.00438196724280715, -0.006943797692656517, -0.007366975769400597, 0.04107589274644852, -0.03590892627835274, 0.005105169024318457, 0.026398278772830963, -0.004914842080324888, -0.046554744243621826, 0.01813390664756298, 0.03423337638378143, 0.09289321303367615, -0.03301098197698593, -0.018703969195485115, -0.01780674420297146, 0.03517257049679756, -0.07075953483581543, 0.005732014775276184, 0.09025143831968307, -0.05895378813147545, -0.0679425448179245, -0.02006172016263008, 0.007122628390789032, -0.02595083974301815, -0.03250819817185402, -0.005160160828381777, 1.248035392908477e-33, -0.016610072925686836, -0.04308994486927986, 0.036896657198667526, -0.06468204408884048, 0.02183314971625805, -0.04667630419135094, 0.02407556027173996, -0.02291274443268776, -0.018679393455386162, -0.0049549248069524765, -0.019023347645998, -0.08448070287704468, 0.03543677553534508, 0.027722561731934547, 0.05967366695404053, 0.04680106043815613, -0.029681812971830368, 0.027491029351949692, -0.114350326359272, 0.04080137982964516, 0.06205243989825249, -0.004696777556091547, 0.060839515179395676, -0.019052116200327873, 0.04114310070872307, 0.0013351768720895052, -0.04084404557943344, 0.01329867634922266, 0.1089337095618248, -0.019336098805069923, 0.016301078721880913, -0.05112917348742485, -0.05824810639023781, 0.04129604995250702, 0.030966969206929207, 0.012277442961931229, 0.03145337104797363, 0.02061399072408676, -0.003030454972758889, -0.026726892217993736, -0.08227397501468658, 0.025025205686688423, -0.05545306205749512, 0.08108139038085938, -0.03477763757109642, -0.09679868072271347, -0.03859040141105652, -0.039598144590854645, 0.01172697078436613, -0.021044157445430756, 0.03311927244067192, 0.06306742131710052, -0.020854787901043892, -0.12314598262310028, -0.05023336410522461, -0.0527927502989769, 0.1436164826154709, 0.02935308776795864, -0.020354902371764183, 0.008213776163756847, -0.05139165744185448, 0.025656741112470627, -0.04353506490588188, 0.05159242823719978, 0.012389620766043663, 0.013912079855799675, 0.04943080246448517, -0.06346572190523148, 0.05037480965256691, -0.009209100157022476, -0.08113102614879608, -0.027125274762511253, -0.06576868146657944, -0.03345862776041031, -0.12397084385156631, -0.030564527958631516, -0.054961394518613815, -0.10191277414560318, 0.08918152004480362, -0.08605794608592987, -0.03251595050096512, -0.03676041215658188, 0.0846048891544342, 0.09123021364212036, -0.12760759890079498, 0.07048048824071884, -0.05257324129343033, 0.05155877768993378, 0.02185887284576893, -0.003251377260312438, 0.07428678870201111, 0.04366735368967056, -0.05286705866456032, 0.022193683311343193, -0.03670194000005722, -1.9431909769031072e-33, 0.04874745011329651, 0.007426119409501553, -0.0631766989827156, -0.07964333146810532, 0.004418132361024618, 0.005604899488389492, 0.03585295379161835, 0.1120392456650734, 0.10776672512292862, -0.0034538840409368277, 0.07100995630025864, 0.06278641521930695, -0.03533768281340599, 0.06135256960988045, -0.04267608001828194, 0.016315676271915436, 0.05455465614795685, 0.04129008203744888, -0.06431204080581665, -0.0658082365989685, 0.007508398965001106, -0.045360784977674484, 0.04897024482488632, 0.006167808547616005, -0.05416062846779823, 0.0952477678656578, 0.030168533325195312, 0.0400686115026474, -0.13480165600776672, 0.04379521682858467, 0.032712988555431366, 0.07401891052722931, 0.02614464797079563, 0.015426100231707096, -0.009215046651661396, -0.04602488502860069, 0.04810965433716774, -0.009140710346400738, -0.030621299520134926, -0.01580170914530754, 0.02450631745159626, 0.07390443980693817, 0.017436038702726364, 0.13390196859836578, -0.043021950870752335, 0.06693002581596375, -0.0433853454887867, 0.02354562282562256, 0.028767570853233337, 0.03401009738445282, -0.06639078259468079, -0.024757076054811478, 0.04179277643561363, -0.010743368417024612, 0.033056192100048065, -0.04315419867634773, -0.05628710240125656, -0.10094805061817169, -0.03526801988482475, 0.029390698298811913, -0.009334025904536247, -0.06102089211344719, 0.05275168642401695, -0.040352754294872284, 0.048616304993629456, 0.020137211307883263, -0.02750144898891449, -0.027952658012509346, 0.0730711966753006, -0.036726441234350204, 0.0162016823887825, 0.06095730885863304, -0.027544422075152397, -0.051458388566970825, -0.032284926623106, -0.04916611686348915, -0.01720345765352249, 0.04601574316620827, 0.07517877221107483, 0.011036892421543598, 0.004367987159639597, -0.05661100521683693, -0.028654519468545914, 0.009973974898457527, 0.05005926638841629, -0.04609231278300285, 0.00044751897803507745, 0.018991345539689064, 0.009448401629924774, 0.004439662676304579, -0.030097534880042076, 0.0031414481345564127, -0.033882204443216324, -0.0230531208217144, 0.0467413030564785, -1.4568898087929938e-08, 0.03533894941210747, -0.06636964529752731, -0.03419133648276329, 0.05536266788840294, -0.02773222140967846, -0.0329921618103981, -0.09640026092529297, -0.009339716285467148, 0.11879447102546692, -0.00036310008727014065, -0.030129902064800262, 0.08814963698387146, 0.0349256806075573, -0.01810912787914276, -0.05856967717409134, 0.03460775315761566, -0.006645973771810532, -0.04748756065964699, -0.0016994895413517952, -0.05490341782569885, 0.01018964871764183, -0.0292558241635561, 0.04736753925681114, -0.010285567492246628, 0.055140744894742966, 0.024789975956082344, -0.04096459224820137, 0.03733678534626961, -0.014531421475112438, 0.038518019020557404, -0.09009658545255661, 0.047711774706840515, -0.0069214110262691975, 0.07795434445142746, 0.000246670184424147, 0.04784783720970154, 0.031744375824928284, 0.04405730217695236, -0.006101969629526138, -0.025516021996736526, 0.07324113696813583, 0.05386780947446823, -0.060637589544057846, -0.03717680275440216, -0.035143911838531494, 0.06616128236055374, -0.030039381235837936, 0.12130481749773026, 0.02463194541633129, -0.14414085447788239, 0.0196701493114233, -0.012526419945061207, 0.03390835225582123, 0.08513650298118591, -0.045612238347530365, 0.06384334713220596, -0.04991595074534416, -0.04748033732175827, -0.0149690518155694, 0.04012427479028702, -0.028053775429725647, 0.035701341927051544, 0.07853025197982788, 0.002505373442545533
Sepsis debida a Salmonella|A02.1|003.1|Salmonella sepsis|0.0010945928515866399, -0.04455545172095299, -0.039019323885440826, -0.015647761523723602, 0.040938060730695724, 0.00889110378921032, 0.052261173725128174, 0.0787835344672203, 0.001608187914825976, -0.053000934422016144, -0.020974311977624893, -0.015365819446742535, -0.013244488276541233, 0.07219485938549042, 0.021634353324770927, -0.10784456878900528, 0.013708963058888912, -0.023635832592844963, -0.08678170293569565, -0.07594652473926544, -0.04038830101490021, 0.03764434531331062, 0.0031288277823477983, -0.044039998203516006, -0.015315314754843712, 0.033109910786151886, 0.08263914287090302, 0.07630127668380737, 0.06015656515955925, 0.0033106175251305103, -0.04737436771392822, -0.10587526857852936, 0.08189989626407623, -0.07623318582773209, 0.011999078094959259, 0.012324225157499313, 0.05844203755259514, -0.0037805777974426746, 0.05644865706562996, 0.000912620103918016, -0.022616485133767128, 0.013686913065612316, 0.006996610201895237, 0.010259768925607204, -0.03671983256936073, 0.056192923337221146, -0.008970623835921288, 0.07600066065788269, 0.09365395456552505, 0.025954801589250565, -0.05324709042906761, -0.03938231244683266, -0.014453556388616562, 0.0457024984061718, 0.04615388438105583, -0.03384273126721382, -0.026969363912940025, -0.07249674201011658, -0.07832788676023483, -0.08661077916622162, -0.05965331941843033, 0.00832330621778965, 0.0999397560954094, 0.04171482473611832, 0.013844085857272148, -0.040126413106918335, 0.03196948021650314, 0.046950940042734146, 0.07996073365211487, -0.0423111654818058, 0.04452270269393921, 0.01811474934220314, -0.07057078927755356, 0.07084166258573532, -0.04974875971674919, 0.007724761962890625, 0.060739871114492416, -0.06809684634208679, 0.027860047295689583, 0.07147388160228729, 0.027733193710446358, -0.007979987189173698, 0.09367860108613968, 0.059881746768951416, 0.01883147656917572, -0.0376841202378273, -0.0337865874171257, 0.01818162575364113, -0.07538311183452606, 0.036903176456689835, 0.009953784756362438, -0.026844462379813194, 0.10808108001947403, -0.04291597753763199, 0.016851302236318588, -0.013538269326090813, -0.02637765184044838, -0.045797403901815414, -0.02115931175649166, 0.04979855194687843, -0.08887314051389694, 0.026116032153367996, -0.0356757715344429, -0.040882352739572525, 0.03150930628180504, -0.015005866065621376, -0.022771043702960014, 0.01693369261920452, -0.01071279589086771, -0.012442324310541153, 0.03448377549648285, 0.03842288255691528, -0.008514462038874626, -0.04815047234296799, 0.040520988404750824, -0.013278672471642494, 0.0624292753636837, -0.05461522191762924, 0.06281332671642303, 0.07384183257818222, -0.0397459976375103, -0.11491657793521881, -0.044210273772478104, 0.002328264992684126, 0.008359302766621113, 0.0375002920627594, 0.021599017083644867, 1.1785791051382344e-33, -0.023006001487374306, -0.051172804087400436, 0.056449491530656815, -0.005301822442561388, 0.05531326308846474, -0.0539872944355011, -0.007443304639309645, -0.010447712615132332, -0.017961377277970314, 0.03951261565089226, -0.02628817781805992, -0.06958390027284622, 0.030868493020534515, 0.021540021523833275, 0.03848935291171074, -0.031954653561115265, -0.01044568419456482, -0.015129011124372482, -0.10048065334558487, 0.023322755470871925, 0.0645061731338501, 0.01421786192804575, 0.10103362798690796, -0.02815861627459526, -0.004617440979927778, -0.008139373734593391, 0.0017232595710083842, 0.034410227090120316, 0.07107311487197876, -0.00667155534029007, -0.05043184384703636, -0.030571673065423965, -0.025267811492085457, 0.052381787449121475, 0.017963282763957977, 0.021973760798573494, -0.06382296979427338, 0.01173361949622631, 0.008297169581055641, 0.018061881884932518, -0.04741451144218445, 0.002654502633959055, -0.03167882189154625, 0.06939616054296494, 0.015294470824301243, -0.05836747959256172, -0.07378249615430832, -0.05847771465778351, 0.014367921277880669, 0.017812034115195274, 0.0412505641579628, 0.01510715764015913, 0.031260427087545395, -0.10729935020208359, -0.009213726036250591, -0.0824921727180481, 0.10446740686893463, 0.05122475326061249, 0.0017191427759826183, 0.0012334014754742384, -0.011251681484282017, 0.10035805404186249, -0.04673103988170624, 0.0854189321398735, -0.0018033983651548624, 0.012351197190582752, 0.013451066799461842, -0.06719902902841568, 0.04304322972893715, -0.03593583405017853, -0.06878967583179474, 0.036677684634923935, -0.03155817836523056, -0.0852079913020134, -0.11590171605348587, -0.04373128339648247, -0.051130350679159164, -0.06656978279352188, 0.06108197942376137, -0.09678415954113007, 0.0019753719680011272, -0.0018601808696985245, 0.08785652369260788, 0.0898769274353981, -0.11522919684648514, 0.10974825918674469, -0.08191226422786713, 0.05866514891386032, -0.017739351838827133, -0.05182451754808426, 0.08739157021045685, 0.036244865506887436, -0.044346604496240616, -0.012519890442490578, -0.060867566615343094, -1.5666162188294026e-33, 0.07967674732208252, -0.046537384390830994, -0.0674346387386322, -0.0854632556438446, -0.023303531110286713, 0.02290729060769081, -0.014438992366194725, 0.11870642006397247, 0.06158886477351189, 0.004138876684010029, 0.048034753650426865, 0.027872247621417046, -0.05284949764609337, 0.09485702216625214, -0.04544581472873688, 0.013833190314471722, 0.08573713898658752, 0.014147157780826092, -0.0887981429696083, -0.06577150523662567, -0.005558180157095194, -0.04797043278813362, 0.0054746647365391254, 0.022377552464604378, -0.03312699496746063, 0.018745822831988335, -0.016275091096758842, 0.011372976005077362, -0.057890478521585464, 0.022735072299838066, 0.05724811553955078, 0.016056286171078682, 0.04237167909741402, -0.018660010769963264, 0.0021738396026194096, -0.03825546056032181, -0.011861494742333889, 0.036223653703927994, 0.00332268956117332, -0.036195263266563416, -0.0025274017825722694, 0.01709616556763649, -0.01473071239888668, 0.12707360088825226, 0.04884152486920357, 0.09662161767482758, -0.021153585985302925, -0.012071442790329456, 0.016933364793658257, 0.05345301330089569, -0.06415507942438126, -0.043075792491436005, 0.021943414583802223, 0.02096742019057274, 0.045028720051050186, -0.10458718240261078, -0.06703153252601624, -0.08261481672525406, -0.06603048741817474, -0.04779142141342163, -0.022709228098392487, -0.05701042339205742, 0.02462514117360115, 0.012846455909311771, 0.08329571038484573, 0.033855028450489044, -0.024640226736664772, -0.04923100396990776, 0.0914156436920166, -0.04530009254813194, -0.04030561074614525, 0.05256536975502968, -0.07921144366264343, -0.039550621062517166, -0.090469129383564, -0.08038872480392456, -0.058704327791929245, 0.013530210591852665, 0.07503684610128403, 0.10357876867055893, 0.007973634637892246, -0.07675307989120483, -0.06774876266717911, 0.006988292094320059, 0.032684121280908585, -0.062475863844156265, -0.009396152570843697, 0.022261807695031166, -0.013425104320049286, -0.04274803027510643, 0.01221766509115696, 0.01285914983600378, -0.07443712651729584, 0.015042855404317379, 0.013645535334944725, -1.4720724195171897e-08, 0.08775045722723007, -0.006091359071433544, -0.08943291753530502, 0.02152431569993496, -0.025918494910001755, -0.021412530913949013, -0.04030190035700798, -0.03156842291355133, 0.08450629562139511, 0.010369980707764626, -0.05810466781258583, 0.06300800293684006, 0.0359157994389534, 0.016954531893134117, -0.0550929419696331, 0.009687047451734543, 0.03422742709517479, -0.01377212256193161, 0.02394217997789383, -0.07989884912967682, -0.007929789833724499, -0.019875749945640564, 0.04607074707746506, 0.04783486947417259, 0.05779924616217613, 0.0484527125954628, -0.029346680268645287, 0.00667237164452672, -0.007245668210089207, 0.01688247174024582, -0.06704460829496384, -0.0023203445598483086, -0.0465686060488224, 0.08655864000320435, 0.022631794214248657, 0.07352052628993988, -0.007818047888576984, 0.04995439574122429, 0.019930778071284294, -0.04018229618668556, 0.06096472218632698, 0.07229224592447281, -0.05308278277516365, 0.004555636551231146, 0.040447257459163666, 0.0064340815879404545, 0.015498851425945759, 0.05261202156543732, -0.016345476731657982, -0.14284156262874603, 0.06002955883741379, 0.02655436098575592, 0.011926812119781971, 0.11081834882497787, -0.0361039936542511, 0.0685880184173584, -0.03355206921696663, -0.023188743740320206, -0.03547721728682518, 0.011940082535147667, 0.05197794735431671, -0.005730109289288521, 0.040010277181863785, 0.0514933243393898
Enteritis debida a Campylobacter|A04.5|008.43|Campylobacter enteritis|0.014855202287435532, -0.030752651393413544, -0.05331982299685478, 0.0488729253411293, -0.030642148107290268, -0.023771582171320915, 0.04696767404675484, 0.07940199971199036, -0.01880469359457493, 0.03799242153763771, -0.0013168423902243376, -0.028014101088047028, 0.019792061299085617, 0.13000144064426422, 0.017488334327936172, -0.03856790065765381, 0.014382210560142994, -0.04864759370684624, 0.02570836991071701, -0.022490262985229492, -0.10789215564727783, 0.05224434286355972, 0.03433293104171753, -0.03015817515552044, -0.08995544910430908, -0.0737667828798294, 0.04930535703897476, -0.015603143721818924, -0.03831930831074715, -0.031144218519330025, -0.04351013898849487, -0.01812569610774517, 0.03147535398602486, -0.009474932216107845, 0.13727061450481415, -0.04237155616283417, 0.011627187952399254, -0.059917643666267395, 0.06809041649103165, 0.04619225859642029, 0.02175314538180828, -0.04886634275317192, 0.0621006153523922, 0.0016774579416960478, -0.04616713523864746, 0.04162858799099922, -0.01725735142827034, 0.053905125707387924, 0.13758304715156555, -0.04332708939909935, -0.06935636699199677, -0.017094826325774193, 0.026701638475060463, 0.04987041652202606, -0.04140837490558624, -0.021252281963825226, 0.0015715165063738823, -0.05405275523662567, -0.03130054101347923, -0.009712736122310162, -0.04265410453081131, 0.06022779643535614, 0.10354054719209671, 0.016059663146734238, -0.07068242132663727, -0.06739206612110138, -0.01603955216705799, 0.00011137415276607499, 0.07197116315364838, 0.030688226222991943, -0.024533135816454887, -0.057822972536087036, -0.04379992187023163, 0.013369019143283367, -0.0434366837143898, -0.03239532187581062, 0.04928206652402878, -0.004042557906359434, 0.0449412539601326, 0.018673377111554146, 0.03137591481208801, 0.026567844673991203, 0.09588371217250824, -0.03221075236797333, -0.004096588585525751, 0.025075141340494156, 0.10616447776556015, 0.03814783692359924, 0.08337769657373428, 0.020315181463956833, 0.029992159456014633, -0.04777432978153229, -0.0197305828332901, -0.018290525302290916, -0.011727957986295223, -0.10177438706159592, 0.07382667064666748, -0.04928542301058769, -0.053529735654592514, 0.03263659402728081, -0.07012440264225006, -0.0724201649427414, 0.04204263538122177, 0.026641368865966797, -0.02750260755419731, -0.05227493867278099, 0.08979258686304092, 0.022928521037101746, -0.0018566146027296782, -0.08753573894500732, -0.03439712896943092, 0.11842038482427597, 0.053943756967782974, 0.0291963629424572, -0.02098582312464714, -0.007220997009426355, 0.07268712669610977, -0.07891926914453506, 0.02879790961742401, 0.14736080169677734, 0.014429043047130108, -0.03846871107816696, 0.05879106745123863, -0.0075736637227237225, 0.00031317933462560177, 0.01672479510307312, 0.018959883600473404, 1.597060420489746e-33, -0.006525334436446428, -0.05375046283006668, -0.0015627938555553555, -0.05298180878162384, 0.05713601037859917, 0.05335056409239769, -0.04027315229177475, -0.05441883206367493, 0.008221661671996117, 0.004957082215696573, -0.04976062476634979, -0.09857888519763947, 0.06422169506549835, 0.03278797119855881, 0.024301979690790176, 0.04101644083857536, -0.13394084572792053, 0.06464958935976028, -0.050570547580718994, 0.01715763658285141, -0.029609117656946182, -0.023314232006669044, 0.03186691924929619, -0.019127555191516876, 0.09661184251308441, 0.046486321836709976, -0.05851317197084427, -0.03727712854743004, 0.09082899242639542, -0.001420148299075663, 0.06628825515508652, -0.04818468168377876, -0.059301331639289856, 0.012017973698675632, 0.006610251031816006, 0.02759571187198162, 0.03233063593506813, -0.01607542112469673, -0.04871996119618416, -0.10159984230995178, -0.03019586205482483, 0.030555343255400658, -0.04781763255596161, 0.04061828926205635, 0.009935612790286541, -0.11361083388328552, -0.07292111963033676, 0.06323409080505371, 0.035197366029024124, 0.021363969892263412, 0.06044631823897362, 0.023297199979424477, -0.03929760679602623, -0.05858601629734039, -0.06929124891757965, -0.01147321704775095, 0.08313290774822235, -0.031634874641895294, 0.07419364899396896, 0.005992229096591473, -0.005820224527269602, 0.033204734325408936, 0.020690403878688812, -0.0158900935202837, 0.04738815501332283, -0.06771315634250641, 0.03396202623844147, -0.00025420187739655375, 0.0469999797642231, -0.03074675053358078, -0.08404646068811417, -0.07431037724018097, 0.00831422209739685, 0.04362105950713158, -0.1197432354092598, -0.04821197688579559, -0.0002989735803566873, -0.05896172299981117, 0.028373638167977333, -0.06476723402738571, -0.0266426932066679, -0.06426965445280075, 0.06924796104431152, 0.032857440412044525, -0.06798364967107773, 0.020433541387319565, -0.08377646654844284, 0.009427166543900967, 0.01254495419561863, 0.022544052451848984, 0.08091405034065247, 0.04915481433272362, -0.09467565268278122, 0.014285062439739704, 0.051684025675058365, -2.700963675598102e-33, 0.0095706507563591, -0.01303523313254118, -0.029507523402571678, -0.05340365320444107, 0.043194036930799484, -0.0529225654900074, -0.01609308272600174, 0.029973864555358887, 0.08909013122320175, -0.002324130153283477, 0.03979337960481644, 0.08396980911493301, 0.037627290934324265, -0.018597586080431938, 0.043248385190963745, 0.030997926369309425, 0.005674848333001137, 0.002214521635323763, -0.028853360563516617, -0.026491643860936165, 0.028919219970703125, -0.055611878633499146, 0.005337562412023544, -0.05295022577047348, -0.03214152902364731, 0.07780786603689194, 0.00237484578974545, 0.06757555902004242, -0.04716569185256958, 0.0010948417475447059, 0.0870213732123375, 0.08061693608760834, 0.023991024121642113, 0.010574810206890106, 0.050949230790138245, -0.04203188419342041, 0.005095670931041241, -0.042260996997356415, -0.062175001949071884, -0.07360975444316864, 0.08501498401165009, 0.034694086760282516, -0.038876648992300034, 0.10250797867774963, -0.05872735381126404, 0.03780116140842438, -0.026583068072795868, -0.06932596117258072, 0.0724661648273468, 0.02544528804719448, -0.08523666858673096, -0.08383224904537201, 0.027507426217198372, -0.0411432646214962, -0.007603952661156654, 0.010028325952589512, -0.03492158278822899, -0.10833894461393356, -0.046138226985931396, 0.060239024460315704, 0.05673596262931824, 0.03255811706185341, 0.009822475723922253, -0.01840958744287491, 0.044296346604824066, -0.03689328953623772, -0.01608392968773842, -0.005262204445898533, 0.09887766093015671, -0.08714517951011658, 0.05808814615011215, 0.047580551356077194, -0.03782719746232033, -0.0030048347543925047, -0.02541140280663967, -0.019521046429872513, -0.01960594207048416, 0.010576360858976841, 0.008554641157388687, -0.023497315123677254, 0.006582070607692003, -0.06114445626735687, 0.00816137995570898, 0.018131790682673454, 0.0383269302546978, -0.01599149778485298, 0.0009461168083362281, 0.06718188524246216, -0.005555611103773117, 0.002624782733619213, 0.005118812900036573, -0.013050524517893791, 0.006751601118594408, 0.012920479290187359, 0.0011733765713870525, -1.5946545417477864e-08, -0.0335087887942791, -0.11957108974456787, 0.009948178194463253, 0.04087259620428085, -0.05268566310405731, -0.02199397049844265, -0.09843506664037704, -0.002590213669463992, 0.022559819743037224, -0.007811428047716618, 0.02046849951148033, 0.053797245025634766, -0.0027655961457639933, 0.028033161535859108, 0.020107954740524292, 0.01856842264533043, -0.0795019343495369, 0.0015102858887985349, -0.023818401619791985, 0.01467016153037548, -0.03723392263054848, -0.011144325137138367, 0.09599274396896362, -0.015369807370007038, -0.017953049391508102, 0.00617514131590724, -0.06057529151439667, 0.1129031628370285, -0.09174265712499619, 0.01031959056854248, 0.026612937450408936, 0.08991678804159164, -2.3092678020475432e-05, 0.08280190825462341, -0.08135513216257095, 0.049511633813381195, 0.055158909410238266, -0.040029726922512054, -0.027180196717381477, -0.01955268159508705, 0.02426697500050068, 0.012407728470861912, 0.004629031289368868, -0.04537196457386017, -0.06530741602182388, 0.01309600193053484, -0.055273689329624176, 0.03193189576268196, 0.012196701020002365, -0.12731154263019562, 0.01410156860947609, 0.009945007972419262, -0.04803154990077019, 0.10682053864002228, 0.009048165753483772, 0.0409817099571228, -0.011876528151333332, -0.044276341795921326, 0.037046946585178375, -0.026105273514986038, -0.10534804314374924, 0.020782362669706345, 0.06818719208240509, 0.0006959568127058446
