Métrica|XGBoost|Gradient Boosting
Accuracy|0.75|0.765
Precision|0.7372262773722628|0.7706237424547284
Recall|0.9853658536585366|0.9341463414634147
F1-Score|0.8434237995824635|0.844542447629548
ROC AUC|0.769390243902439|0.7951925545571245
