Métrica|XGBoost|Gradient Boosting
Accuracy|0.7416666666666667|0.755
Precision|0.7495219885277247|0.7642436149312377
Recall|0.9423076923076923|0.9350961538461539
F1-Score|0.8349307774227902|0.841081081081081
ROC AUC|0.7762398097826088|0.7890167746655519
