Métrica|XGBoost|Gradient Boosting|Random Forest
Accuracy|0.7466666666666667|0.775|0.7016666666666667
Precision|0.7457943925233644|0.7834008097165992|0.7458333333333333
Recall|0.9614457831325302|0.9325301204819277|0.8626506024096385
F1-Score|0.84|0.8514851485148515|0.8
ROC AUC|0.7959882774340605|0.8198957994138716|0.7506479973949853
