ICD9|ICD10
012.03|A15.6
012.04|A15.6
012.05|A15.6
012.06|A15.6
012.10|A15.4
012.11|A15.4
012.12|A15.4
012.13|A15.4
012.14|A15.4
012.15|A15.4
012.16|A15.4
012.20|A15.5
012.21|A15.5
012.22|A15.5
012.23|A15.5
012.24|A15.5
012.25|A15.5
012.26|A15.5
012.30|A15.5
012.31|A15.5
012.32|A15.5
012.33|A15.5
012.34|A15.5
012.35|A15.5
012.36|A15.5
012.80|A15.8
012.81|A15.8
012.82|A15.8
012.83|A15.8
012.84|A15.8
012.85|A15.8
012.86|A15.8
013.00|A17.0
013.01|A17.0
013.02|A17.0
013.03|A17.0
013.04|A17.0
013.05|A17.0
013.06|A17.0
013.10|A17.1
013.11|A17.1
013.12|A17.1
013.13|A17.1
013.14|A17.1
013.15|A17.1
013.16|A17.1
013.20|A17.81
013.21|A17.81
013.22|A17.81
013.23|A17.81
013.24|A17.81
013.25|A17.81
013.26|A17.81
013.30|A17.81
013.31|A17.81
013.32|A17.81
013.33|A17.81
013.34|A17.81
013.35|A17.81
013.36|A17.81
013.40|A17.81
013.41|A17.81
013.42|A17.81
013.43|A17.81
013.44|A17.81
013.45|A17.81
013.46|A17.81
013.50|A17.81
013.51|A17.81
013.52|A17.81
013.53|A17.81
013.54|A17.81
013.55|A17.81
013.56|A17.81
013.60|A17.82
013.61|A17.82
013.62|A17.82
013.63|A17.82
013.64|A17.82
013.65|A17.82
013.66|A17.82
013.80|A17.89
013.81|A17.89
013.82|A17.89
013.83|A17.89
013.84|A17.89
013.85|A17.89
013.86|A17.89
013.90|A17.9
013.91|A17.9
013.92|A17.9
013.93|A17.9
013.94|A17.9
013.95|A17.9
013.96|A17.9
014.00|A18.31
014.01|A18.31
014.02|A18.31
014.03|A18.31
014.04|A18.31
014.05|A18.31
014.06|A18.31
014.80|A18.32
014.80|A18.39
014.81|A18.32
014.81|A18.39
014.82|A18.32
014.82|A18.39
014.83|A18.32
014.83|A18.39
014.84|A18.32
014.84|A18.39
014.85|A18.32
014.85|A18.39
014.86|A18.32
014.86|A18.39
015.00|A18.01
015.01|A18.01
015.02|A18.01
015.03|A18.01
015.04|A18.01
015.05|A18.01
015.06|A18.01
015.10|A18.02
015.11|A18.02
