Métrica|XGBoost|Gradient Boosting
Accuracy|0.696969696969697|0.7229437229437229
Precision|0.71|0.725
Recall|0.922077922077922|0.9415584415584416
F1-Score|0.8022598870056498|0.8192090395480226
ROC AUC|0.7387511478420569|0.7595997076516556
