Métrica|XGBoost|Gradient Boosting|Random Forest
Accuracy|0.7433333333333333|0.745|0.7183333333333334
Precision|0.7471910112359551|0.7912087912087912|0.7599164926931107
Recall|0.9545454545454546|0.861244019138756|0.8708133971291866
F1-Score|0.8382352941176471|0.8247422680412371|0.8115942028985508
ROC AUC|0.7746266891003734|0.7938771754561228|0.7243545927756455
